"UPC","ISBN","EAN","FullTitle","PriceUSD","PriceCAD","PriceUK","NETPrice","NETPriced","SeriesName","SeriesNumber","SubTitle","CoverDescription","PrimaryFormatType","SecondaryFormatTypes","ProductCategory","TextNumber","VolumeTag","Description","InitialOrderDate","FOCDate","OnSaleDate","OriginalCatalogDate","PublisherName","ImprintName","Storyline","SeriesFrequency","MaxIssue","VariantNumber","VariantRatio","SeriesCode","SeriesType","ParentSeriesCode","SeriesFamily","PageCount","PrimaryContentType","IssueSort","BISAC1","BISAC1Description","BISAC2","BISAC2Description","BISAC3","BISAC3Description","Language","AgeRange","MediaRating","Adult","VariantMechanic","AlternateUPC","OrderRequirementCodes","OrderExceptionCodes","ExceedPercentage","EligibleCodes","PublisherCode","ContentItems","Reprint","Printing","WriterISNI","Writer","ArtistISNI","Artist","CoverArtistISNI","CoverArtist","ColoristISNI","Colorist","InkerISNI","Inker","EditorISNI","Editor","LettererISNI","Letterer","Contributor","CartonQuantity","UnitMeasurements","Unit Width","Unit Height","Unit Depth","Unit Weight","Case Weight","Case Length","Case Width","Case Height","StockCode","MonthCode","AlternateCode","OfferedAgain","Resolicited","FOCItem","DemandCheck","InitialOrderIncrement","ReOrderIncrement","BundleQuantity","BundleUPCs","SalesRestrictions","OrderFormNotes","CatalogPage","CatalogMonth","DiscountCode","ReorderDiscountCode","Returnable","ReturnWindow","ReturnType","ReturnQualifier","ReturnPercent","ImageUrl","ImageUpdateDate","SalesStatusCode","DistributorPublisherCode"
"64557390088500211","","","Far Cry Cull The Herd Issue #2","4.99","6.99","","","N","Far Cry: Cull the Herd","2","","","CB","","Comics","","","Villains from popular Far Cry games are transported into prehistoric times by the priestess Batari, who has pulled them from their lives before they've committed their most heinous crimes. Now, they're tasked with fighting against the dangers of a prehistoric world and challenging their supposed destiny. Will the unusual circumstances encourage them to come together, fight against each other, or go rogue?This nature-versus-nurture narrative examines popular characters in a new context. The series features appearances from Ant n Castillo (Far Cry 6), Vaas Montenegro (Far Cry 3), Pagan Min (Far Cry 4), and Batari (Far Cry Primal).","","2025-08-04","2025-09-17","2025-07-01","Tokyopop","TOKYOPOP","","","","0","","FCR","Ongoing","","","32","","","CGN004060","Comics & Graphic Novels - Media Tie-In","CGN004030","Comics & Graphic Novels - Fantasy - General","CGN018000","Comics & Graphic Novels - Action & Adventure","eng","","Rated T","","Primary Title","","","","","","","","","","","Ryan Nichols","","Caterina Bacchelli","","","","Elisa Bartolucci","","","","","","","","100","IMPERIAL","6.6250","10.1875","","0.2500","","","","","64557390088500211","","","N","N","Y","","","","","","","","","2025-07","BQM","BQM","N","","","","","https://images.penguinrandomhouse.com/cover/d/64557390088500211","2025-05-18","IP","HC"
"73238818114800231","","","Valiant Beyond: Bloodshot #2 Variant C (Greco)","4.99","6.99","","","N","Valiant Beyond: Bloodshot","2","","","CB","","Comics","","","Bloodshot’s journey into the Japanese underworld continues in another can’t miss issue from rising star writer Mauro Mantella featuring art by Fernando Heinz Furukawa!The secret origin of vampirism and the true order of the world is revealed to Bloodshot as he undergoes a startling transformation. Are the Yakuza ready to face the wrath of... vampire Bloodshot?! Are any of us ready for this?! Probably not, but it’s happening anyway! PLUS: Secrets of Bloodshot’s past are revealed and things get VERY gory!","","2025-08-18","2025-09-24","2025-07-01","IDW Publishing","Alien Books","","Irregular","","2","","VBB","Limited Series","","","32","","","CGN004080","Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes)","CGN017000","Comics & Graphic Novels - Supervillains","CGN018000","Comics & Graphic Novels - Action & Adventure","eng","","Mature","","Open Order","","","","","","","","","","","Mauro Mantella","","Fernando Heinz Furukawa","","Diego Greco","","","","","","","","","","220","IMPERIAL","6.6250","10.0625","","0.2500","","","","","73238818114800231","","","N","N","Y","","","","","","","","","2025-07","BQM","BQM","Y","2025-11-01:2025-11-30","Affidavit","Open Return","","https://images.penguinrandomhouse.com/cover/d/73238818114800231","2025-05-01","IP","EV"
"73238818114800261","","","Valiant Beyond: Bloodshot #2 Variant F (Greco Full Art)","4.99","6.99","","","N","Valiant Beyond: Bloodshot","2","","","CB","","Comics","","","Bloodshot’s journey into the Japanese underworld continues in another can’t miss issue from rising star writer Mauro Mantella featuring art by Fernando Heinz Furukawa!The secret origin of vampirism and the true order of the world is revealed to Bloodshot as he undergoes a startling transformation. Are the Yakuza ready to face the wrath of... vampire Bloodshot?! Are any of us ready for this?! Probably not, but it’s happening anyway! PLUS: Secrets of Bloodshot’s past are revealed and things get VERY gory!","","2025-08-18","2025-09-24","2025-07-01","IDW Publishing","Alien Books","","Irregular","","5","","VBB","Limited Series","","","32","","","CGN004080","Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes)","CGN017000","Comics & Graphic Novels - Supervillains","CGN018000","Comics & Graphic Novels - Action & Adventure","eng","","Mature","","Open Order","","","","","","","","","","","Mauro Mantella","","Fernando Heinz Furukawa","","Diego Greco","","","","","","","","","","220","IMPERIAL","6.6250","10.0625","","0.2500","","","","","73238818114800261","","","N","N","Y","","","","","","","","","2025-07","BQM","BQM","Y","2025-11-01:2025-11-30","Affidavit","Open Return","","https://images.penguinrandomhouse.com/cover/d/73238818114800261","2025-05-01","IP","EV"
"73238818124700231","","","Valiant Beyond: Tales of the Shadowman #2 Variant C (Dearmas)","4.99","6.99","","","N","Valiant Beyond: Tales of the Shadowman","2","","","CB","","Comics","","","THE ALL-NEW SHADOWMAN IS BACK!Detective Alyssa Myles has always worked hard to ensure New Orleans is safe. Alongside her partner, Detective St. Brown, they follow the trail of the sinister Mr. Twist outside the Glass Curtain, out in the White Zone between the city and the Deadside.Desperate for a break in the case, Alyssa summons the entity known as The Shadowman. But doing so comes at a cost... and Alyssa must help Shadowman uncover the secrets of his own past.The saga of the all-new Shadowman continues in your new favorite series from writer AJ Ampadu and artist Sergio Monjes!","","2025-08-25","2025-10-01","2025-07-01","IDW Publishing","Alien Books","","Irregular","","2","","VBS","Limited Series","","","32","","","CGN004080","Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes)","CGN017000","Comics & Graphic Novels - Supervillains","CGN018000","Comics & Graphic Novels - Action & Adventure","eng","","Mature","","Open Order","","","","","","","","","","","AJ Ampadu","","Sergio Monjes","","Carlos Dearmas","","","","","","","","","","220","IMPERIAL","6.6250","10.0625","","0.2500","","","","","73238818124700231","","","N","N","Y","","","","","","","","","2025-07","BQM","BQM","Y","2025-12-01:2025-12-31","Affidavit","Open Return","","https://images.penguinrandomhouse.com/cover/d/73238818124700231","2025-05-01","IP","EV"
"73238818144500121","","","Valiant Beyond: The X-O Manowar #1 Variant B (Grego Wraparound Variant)","4.99","6.99","","","N","Valiant Beyond: The X-O Manowar","1","","","CB","","Comics","","","A NEW ERA OF SUPERHERO STORYTELLING BEGINS HERE!Designed as the ULTIMATE jumping-on point, the Valiant Beyond line of comics are ABSOLUTE must-reads that will ENERGIZE your love for superheroes!The mighty Aric of Dacia, aka X-O Manowar, traverses a deadly wasteland filled with mutated horrors in a search for honor in this CAN’T-MISS debut issue from GLAAD award nominated writer Steve Orlando (Avengers Assemble) and superstar artist Guillermo Fajardo (RESURGENCE OF THE VALIANT UNIVERSE)! Aric’s strength and resilience are put to the test when he comes to the defense of a family under siege from a mysterious gang known as the Earthborn. Aric finds himself aligned with a rebel group which puts him firmly in the crosshairs of the Earthborn’s leader Typhon. Can Aric survive his journey across the Red Steppe?It’s X-O Manowar like you’ve never seen him before in the debut chapter of this all-new four-part story!","","2025-08-11","2025-09-17","2025-07-01","IDW Publishing","Alien Books","","Irregular","","1","","VAO","Limited Series","","","32","","","CGN004080","Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes)","CGN017000","Comics & Graphic Novels - Supervillains","CGN018000","Comics & Graphic Novels - Action & Adventure","eng","","Mature","","Open Order","","","","","","","","","","","Steve Orlando","","Guillermo Fajardo","","Nahuel Grego","","","","","","","","","","220","IMPERIAL","6.6250","10.0625","","0.2500","","","","","73238818144500121","","","N","N","Y","","","","","","","","","2025-07","BQM","BQM","Y","2025-11-01:2025-11-30","Affidavit","Open Return","","https://images.penguinrandomhouse.com/cover/d/73238818144500121","2025-05-01","IP","EV"
"73238818204600161","","","Valiant Beyond: All-New Harbinger #1 Variant F (Fajardo Wraparound Full Art)","4.99","6.99","","","N","Valiant Beyond: All New Harbinger","1","","","CB","","Comics","","","MEET THE ALL NEW HARBINGER!Designed as the ULTIMATE jumping-on point, the Valiant Beyond line of comics are ABSOLUTE must-reads that will ENERGIZE your love for superheroes!After the devastating fallout of the Harbinger Wars, humans and psiots are able to live together without conflict... but that doesn’t mean that things are safe! Enter: Harbinger, a super team composed of uniquely powerful psiots including Archer, Flamingo, Alloy, and Crane, dedicated to protecting their city at any cost!When the terrorist Black Sheep takes a building hostage, it’s up to Harbinger to step up and stop her. But are they up to the test after having recently lost one of their own? It’s a trial by fire for Archer and the newest member of Harbinger in the first chapter of this can’t-miss 3 issue story arc!A new era for Harbinger begins from fan-favorite writer and Valiant mainstay Fred Van Lente (RESURGENCE OF THE VALIANT UNIVERSE, Incredible Hercules) and artist Erik Tamayo (Star Trek)!","","2025-08-04","2025-09-10","2025-07-01","IDW Publishing","Alien Books","","Irregular","","5","","VBH","Limited Series","","","32","","","CGN004080","Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes)","CGN017000","Comics & Graphic Novels - Supervillains","CGN018000","Comics & Graphic Novels - Action & Adventure","eng","","Mature","","Open Order","","","","","","","","","","0000000078255872","Fred Van Lente","","Erik Tamayo","","Guillermo Fajardo","","","","","","","","","","220","IMPERIAL","6.6250","10.0625","","0.2500","","","","","73238818204600161","","","N","N","Y","","","","","","","","","2025-07","BQM","BQM","Y","2025-11-01:2025-11-30","Affidavit","Open Return","","https://images.penguinrandomhouse.com/cover/d/73238818204600161","2025-05-01","IP","EV"
"75960620483003816","","","MILES MORALES: SPIDER-MAN #38 SERGIO DAVILA VARIANT","3.99","5.00","","","N","MILES MORALES: SPIDER-MAN","38","","","CB","","Comics","","","A BLACK CAT IN BROOKLYN! To catch a couple of super-thieves, SPIDER-MAN will need a thief. The BLACK CAT, the best in the business, is here to lend a helping paw…but can Miles trust her?!","","2025-08-18","2025-09-17","2025-07-01","Marvel","Marvel Universe","","","","13","1:25","FII","Ongoing","","","32","","","CGN004080","Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes)","","","","","eng","","Rated T","","Ratio Variant","","","","","","","","","","","Cody Ziglar","","Luigi Zagaria","0000000048970840","Sergio Dávila","","","","","","","","","","240","IMPERIAL","6.6250","10.1875","","0.2500","","","","","75960620483003816","","","N","N","Y","","","","","","","","","2025-07","BQM","BQM","N","","","","","https://images.penguinrandomhouse.com/cover/d/75960620483003816","2025-06-17","IP","H6"
"75960620531802516","","","DAREDEVIL #25 E.M. GIST VARIANT","4.99","6.25","","","N","DAREDEVIL","25","","","CB","","Comics","","","Wilson Fisk's days of piety are OVER! As he returns to a Hell's Kitchen rife with sacrilege, it's up to the DAREDEVILS, Matt and Elektra, to put aside their differences and stop the Kingpin's blasphemy! But will the estranged lovers find themselves ensnared in one another's arms once more? Or will they tear themselves and each other to pieces as Wilson Fisk does the same to their city?!","","2025-08-25","2025-09-24","2025-07-01","Marvel","Marvel Universe","","","","13","1:25","LDE","Ongoing","","","32","","","CGN004080","Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes)","","","","","eng","","Rated T+","","Ratio Variant","","","","","","","","","","000000036652159X","Saladin Ahmed","","José Luis","0000000050938153","E.M. Gist","","","","","","","","","","200","IMPERIAL","6.6250","10.1875","","0.2500","","","","","75960620531802516","","","N","N","Y","","","","","","","","","2025-07","BQM","BQM","N","","","","","https://images.penguinrandomhouse.com/cover/d/75960620531802516","2025-06-17","IP","H6"
"75960620663602911","","","INCREDIBLE HULK #29","3.99","5.00","","","N","INCREDIBLE HULK","29","","","CB","","Comics","","","THE MOTHER OF HORRORS STIRS… Lured into a trap by his enemies, Hulk is guided through a mysterious subterranean graveyard by none other than Betty Ross…but something about Betty is not as it seems. Win or lose, Hulk's only road now leads through the prison of the Mother of Horrors! A CLASSIC Hulk nemesis returns in this issue, and the ORIGIN OF THE MOTHER OF HORRORS is revealed, leading directly into the explosive landmark issue of INCREDIBLE HULK #30!","","2025-08-18","2025-09-17","2025-07-01","Marvel","Marvel Universe","","","","0","","IH3","Ongoing","","","32","","","CGN004080","Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes)","","","","","eng","","Rated T+","","Primary Title","","","","","","","","","","0000000474742963","Phillip Kennedy Johnson","","Adam Gorham","","Nic Klein","","","","","","","","","","240","IMPERIAL","6.6250","10.1875","","0.2500","","","","","75960620663602911","","","N","N","Y","","","","","","","","","2025-07","BQM","BQM","N","","","","","https://images.penguinrandomhouse.com/cover/d/75960620663602911","2025-05-30","IP","H6"
"75960620796102116","","","ULTIMATE SPIDER-MAN #21 ALEXANDER LOZANO VARIANT","4.99","6.25","","","N","ULTIMATE SPIDER-MAN","21","","","CB","","Comics","","","THE FINAL MEETING OF THE SINISTER SIX? Blood boils over as these warring villains gather to destroy each other once and for all…or will they reunite against their common enemy, Spider-Man?","","2025-08-25","2025-09-24","2025-07-01","Marvel","Ultimate Universe","","","","13","1:25","F7N","Ongoing","","","32","","","CGN004080","Comics & Graphic Novels - Superheroes (See Also Fiction - Superheroes)","","","","","eng","","Rated T","","Ratio Variant","","","","","","","","","","0000000051229885","Jonathan Hickman","0000000073575076","David Messina","","Alexander Lozano","","","","","","","","","","200","IMPERIAL","6.6250","10.1875","","0.2500","","","","","75960620796102116","","","N","N","Y","","","","","","","","","2025-07","BQM","BQM","N","","","","","https://images.penguinrandomhouse.com/cover/d/75960620796102116","2025-06-17","IP","H6"
